seed,pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,pre_bullwhip_ds1,pre_bullwhip_ds2,during_bullwhip_ds1,during_bullwhip_ds2,post_bullwhip_ds1,post_bullwhip_ds2,episode_bullwhip_ds1,episode_bullwhip_ds2,policy,premium,coverage,dp_cost
26,15667.0,290.0,15957.0,160063.0,1.0,1.0,1.0,0.0,0,3196.0,810220.0,813416.0,-637186.0,1.0,1.0,1.0,0.0,0,115263.0,98790.0,214053.0,297422.0,1.0,1.0,1.0,0.0,0,134126.0,909300.0,1043426.0,-179701.0,1.0,1.0,1.0,0.0,0,710.0,633.0,2830.0,25609.0,6,1.5272882399805627,1.5272882399805627,1.5710869960442098,1.1247869459211772,1.0981840692367009,1.1635409776679084,1.1269605661695838,1.21364626234684,h1b_gamma,0.0,14454.0,1027469.0
27,16148.0,660.0,16808.0,158752.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,3125.0,813160.0,816285.0,-639470.0,1.0012237762237761,1.0,1.0006116742397764,0.0012237762237761185,0,112951.0,95910.0,208861.0,302984.0,1.0,1.0,1.0,0.0,0,132224.0,909730.0,1041954.0,-177734.0,1.0,1.0,1.0,0.0,0,720.0,585.0,2759.0,26020.0,6,1.5895626170263053,1.5895626170263053,1.5188095426837322,1.097547638341489,1.1807898309071136,1.1325986002272854,1.1531162563234036,1.2035475963717468,h1b_gamma,0.0,18265.0,1025146.0
28,16153.0,110.0,16263.0,159212.0,1.0,1.0,1.0,0.0,0,2907.0,829990.0,832897.0,-655022.0,1.0,1.0,1.0,0.0,0,115128.0,97270.0,212398.0,298502.0,1.0,1.0,1.0,0.0,0,134188.0,927370.0,1061558.0,-197308.0,1.0,1.0,1.0,0.0,0,718.0,618.0,2824.0,26018.0,6,1.1923840613069585,1.1923840613069585,1.5696930825677688,1.0882949531678099,1.1596606103092033,1.1639888677439887,1.1473011043586223,1.2075623583075574,h1b_gamma,0.0,11882.0,1045295.0
29,15621.0,610.0,16231.0,159399.0,1.0,1.0,1.0,0.0,0,3269.0,828620.0,831889.0,-653674.0,1.0,1.0,1.0,0.0,0,116066.0,100110.0,216176.0,293934.0,1.0,1.0,1.0,0.0,0,134956.0,929340.0,1064296.0,-200341.0,1.0,1.0,1.0,0.0,0,722.0,625.0,2848.0,26322.0,6,1.4020833333333336,1.4020833333333336,1.5505467125459966,1.119654620210273,1.1053566784466986,1.177952223556723,1.1287779499012167,1.2173130240381282,h1b_gamma,0.0,37890.0,1048065.0
30,15951.0,1000.0,16951.0,158784.0,1.0,1.0,1.0,0.0,0,3579.0,852280.0,855859.0,-676719.0,1.0,1.0,1.0,0.0,0,116443.0,105540.0,221983.0,286522.0,1.0,0.9998830751242327,0.9999416824610001,0.00011692487576731025,0,135973.0,958820.0,1094793.0,-231413.0,1.0,0.9999305676097899,0.9999654086962537,6.943239021006686e-05,0,744.0,624.0,2908.0,27618.0,6,1.756785938480854,1.756785938480854,1.5417559465920427,1.1160486171425095,1.1034068704321953,1.1529850685564427,1.1292760275721216,1.210865185412522,h1b_gamma,0.0,15170.0,1077842.0
11,27785.0,390.0,28175.0,147515.0,1.0,1.0,1.0,0.0,0,9631.0,823480.0,833111.0,-653021.0,1.0,1.0,1.0,0.0,0,148896.0,87930.0,236826.0,272234.0,1.0,1.0,1.0,0.0,0,186312.0,911800.0,1098112.0,-233272.0,1.0,1.0,1.0,0.0,0,726.0,574.0,2797.0,24326.0,6,2.046017259296074,2.046017259296074,1.534522315188704,1.0398836789699817,1.1871886013132757,1.2003737220526147,1.169425007199637,1.2079891724173937,h2_buffer_B120_both,11538.0,-845.0,1069937.0
12,26710.0,740.0,27450.0,148570.0,1.0,1.0,1.0,0.0,0,10202.0,816170.0,826372.0,-647457.0,1.0,1.0,1.0,0.0,0,145829.0,88580.0,234409.0,275326.0,1.0,1.0,1.0,0.0,0,182741.0,905490.0,1088231.0,-223561.0,1.0,1.0,1.0,0.0,0,718.0,573.0,2781.0,24233.0,6,1.6175343927595252,1.6175343927595252,1.5382349098533714,1.0386219149494584,1.215864570046644,1.180758102896264,1.1732876090922641,1.2012254071199686,h2_buffer_B120_both,11424.0,-3709.0,1060781.0
13,26277.0,630.0,26907.0,150803.0,1.0,1.0,1.0,0.0,0,10179.0,801520.0,811699.0,-633359.0,1.0,1.0,1.0,0.0,0,146634.0,87690.0,234324.0,273336.0,1.0,1.0,1.0,0.0,0,183090.0,889840.0,1072930.0,-209220.0,1.0,1.0,1.0,0.0,0,719.0,504.0,2654.0,24071.0,6,1.7986473429951693,1.7986473429951693,1.5512418146292228,1.0848734614377387,1.2024260113305492,1.1789546837398948,1.170357006342891,1.2096588793436485,h2_buffer_B120_both,11700.0,3401.0,1046023.0
14,26879.0,620.0,27499.0,147921.0,1.0,1.0,1.0,0.0,0,9551.0,808520.0,818071.0,-639016.0,1.0,1.0,1.0,0.0,0,147404.0,87800.0,235204.0,274056.0,1.0,1.0,1.0,0.0,0,183834.0,896940.0,1080774.0,-217039.0,1.0,1.0,1.0,0.0,0,719.0,516.0,2660.0,23988.0,6,1.6481566421462568,1.6481566421462568,1.5565259959285291,1.09072555204055,1.2078643634049628,1.1756079784085147,1.1743906701467197,1.210058131619746,h2_buffer_B120_both,11787.0,6662.0,1053275.0
15,27495.0,380.0,27875.0,148090.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,10073.0,829820.0,839893.0,-659878.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,146567.0,88200.0,234767.0,274633.0,1.0,1.0,1.0,0.0,0,184135.0,918400.0,1102535.0,-237155.0,1.0,1.0,1.0,0.0,0,726.0,582.0,2815.0,24430.0,6,1.4249037227214376,1.4249037227214376,1.5488793406096715,1.0838395820329705,1.1911126229547664,1.1881867700698858,1.1665437372803773,1.2120568864793377,h2_buffer_B120_both,11800.0,11218.0,1074660.0
